"","year","month","day","n"
"477",2014,12,3,11
"478",2014,12,4,7
"479",2014,12,5,8
"480",2014,12,6,6
"481",2014,12,7,1
"482",2014,12,8,1
"483",2014,12,10,3
"484",2014,12,11,5
"485",2014,12,12,10
"486",2014,12,13,30
"487",2014,12,14,52
"488",2014,12,15,13
"489",2014,12,16,4
"490",2014,12,17,7
"491",2014,12,18,7
"492",2014,12,19,3
"493",2014,12,20,21
"494",2014,12,21,31
"495",2014,12,22,5
"496",2014,12,23,24
"497",2014,12,24,1
"498",2014,12,25,57
"499",2014,12,26,121
"500",2014,12,27,34
"501",2014,12,28,28
"502",2014,12,29,2
"503",2014,12,30,12
"504",2014,12,31,4
"505",2015,1,1,13
"506",2015,1,2,21
"507",2015,1,3,6
"508",2015,1,4,2
"509",2015,1,9,1
"510",2015,1,11,2
"511",2015,1,14,1
"512",2015,1,15,1
"513",2015,1,16,1
"514",2015,1,17,11
"515",2015,1,18,27
"516",2015,1,19,4
"517",2015,1,20,3
"518",2015,1,21,3
"519",2015,1,22,9
"520",2015,1,23,3
"521",2015,1,24,32
"522",2015,1,25,5
"523",2015,1,26,2
"524",2015,1,29,5
"525",2015,1,30,4
"526",2015,1,31,8
"527",2015,2,5,1
"528",2015,2,6,1
"529",2015,2,7,8
"530",2015,2,8,2
"531",2015,2,11,3
"532",2015,2,21,14
"533",2015,2,23,1
"534",2015,2,24,5
"535",2015,2,26,1
"536",2015,2,28,1
"537",2015,3,1,2
"538",2015,3,3,1
"539",2015,3,6,1
"540",2015,3,7,12
"541",2015,3,8,38
"542",2015,3,9,35
"543",2015,3,10,36
"544",2015,3,11,32
"545",2015,3,12,41
"546",2015,3,13,113
"547",2015,3,14,114
"548",2015,3,15,217
"549",2015,3,16,177
"550",2015,3,17,41
"551",2015,3,18,40
"552",2015,3,19,33
"553",2015,3,20,62
"554",2015,3,21,68
"555",2015,3,22,24
"556",2015,3,23,1
"557",2015,3,24,5
"558",2015,3,25,11
"559",2015,3,26,13
"560",2015,3,27,5
"561",2015,3,28,18
"562",2015,3,29,12
"563",2015,3,30,59
"564",2015,3,31,41
"565",2015,4,1,70
"566",2015,4,2,38
"567",2015,4,3,42
"568",2015,4,4,118
"569",2015,4,5,180
"570",2015,4,6,49
"571",2015,4,7,12
"572",2015,4,8,17
"573",2015,4,9,17
"574",2015,4,10,68
"575",2015,4,11,249
"576",2015,4,12,180
"577",2015,4,13,57
"578",2015,4,14,117
"579",2015,4,15,45
"580",2015,4,16,60
"581",2015,4,17,158
"582",2015,4,18,245
"583",2015,4,19,114
"584",2015,4,20,12
"585",2015,4,21,40
"586",2015,4,22,30
"587",2015,4,23,46
"588",2015,4,24,69
"589",2015,4,25,22
"590",2015,4,26,128
"591",2015,4,27,66
"592",2015,4,28,84
"593",2015,4,29,53
"594",2015,4,30,43
"595",2015,5,1,130
"596",2015,5,2,410
"597",2015,5,3,206
"598",2015,5,4,116
"599",2015,5,5,23
"600",2015,5,6,74
"601",2015,5,7,196
"602",2015,5,8,148
"603",2015,5,9,86
"604",2015,5,10,34
"605",2015,5,11,68
