"","year","month","day","n"
"505",2015,1,9,1
"506",2015,1,10,1
"507",2015,1,11,4
"508",2015,1,16,2
"509",2015,1,17,13
"510",2015,1,18,27
"511",2015,1,19,6
"512",2015,1,20,3
"513",2015,1,21,2
"514",2015,1,22,9
"515",2015,1,23,5
"516",2015,1,24,42
"517",2015,1,25,2
"518",2015,1,26,1
"519",2015,1,29,5
"520",2015,1,30,3
"521",2015,1,31,9
"522",2015,2,5,1
"523",2015,2,6,1
"524",2015,2,7,9
"525",2015,2,11,3
"526",2015,2,16,1
"527",2015,2,17,1
"528",2015,2,21,8
"529",2015,2,22,3
"530",2015,2,23,1
"531",2015,2,24,3
"532",2015,2,26,1
"533",2015,2,28,1
"534",2015,3,1,2
"535",2015,3,2,1
"536",2015,3,4,1
"537",2015,3,5,1
"538",2015,3,6,2
"539",2015,3,7,24
"540",2015,3,8,20
"541",2015,3,9,28
"542",2015,3,10,36
"543",2015,3,11,30
"544",2015,3,12,36
"545",2015,3,13,106
"546",2015,3,14,118
"547",2015,3,15,198
"548",2015,3,16,175
"549",2015,3,17,36
"550",2015,3,18,32
"551",2015,3,19,33
"552",2015,3,20,51
"553",2015,3,21,75
"554",2015,3,22,37
"555",2015,3,23,2
"556",2015,3,24,2
"557",2015,3,25,14
"558",2015,3,26,9
"559",2015,3,27,5
"560",2015,3,28,16
"561",2015,3,29,9
"562",2015,3,30,57
"563",2015,3,31,40
"564",2015,4,1,88
"565",2015,4,2,52
"566",2015,4,3,35
"567",2015,4,4,97
"568",2015,4,5,162
"569",2015,4,6,33
"570",2015,4,7,10
"571",2015,4,8,14
"572",2015,4,9,13
"573",2015,4,10,63
"574",2015,4,11,264
"575",2015,4,12,203
"576",2015,4,13,67
"577",2015,4,14,104
"578",2015,4,15,69
"579",2015,4,16,49
"580",2015,4,17,171
"581",2015,4,18,248
"582",2015,4,19,127
"583",2015,4,20,20
"584",2015,4,21,31
"585",2015,4,22,25
"586",2015,4,23,42
"587",2015,4,24,58
"588",2015,4,25,16
"589",2015,4,26,130
"590",2015,4,27,46
"591",2015,4,28,72
"592",2015,4,29,43
"593",2015,4,30,39
"594",2015,5,1,115
"595",2015,5,2,398
"596",2015,5,3,224
"597",2015,5,4,118
"598",2015,5,5,22
"599",2015,5,6,73
"600",2015,5,7,214
"601",2015,5,8,145
"602",2015,5,9,68
"603",2015,5,10,32
"604",2015,5,11,71
"605",2015,5,12,39
"606",2015,5,13,65
"607",2015,5,14,63
"608",2015,5,15,187
"609",2015,5,16,377
"610",2015,5,17,349
"611",2015,5,18,278
"612",2015,5,19,68
"613",2015,5,20,36
"614",2015,5,21,179
"615",2015,5,22,199
"616",2015,5,23,453
"617",2015,5,24,346
"618",2015,5,25,410
"619",2015,5,26,98
"620",2015,5,27,156
"621",2015,5,28,272
"622",2015,5,29,152
"623",2015,5,30,25
"624",2015,5,31,56
"625",2015,6,1,116
"626",2015,6,2,170
"627",2015,6,3,188
"628",2015,6,4,201
"629",2015,6,5,118
"630",2015,6,6,424
"631",2015,6,7,126
"632",2015,6,8,155
"633",2015,6,9,247
"634",2015,6,10,237
"635",2015,6,11,120
"636",2015,6,12,74
"637",2015,6,13,469
"638",2015,6,14,430
"639",2015,6,15,54
"640",2015,6,16,238
"641",2015,6,17,93
